rank,name,items,owners,link,Unnamed: 5,scan,contract address,Time,text plagiarism,image plagiarism,manual label,Creation Time >= 3,trading volume >= 1500,Official website verification,counterfeit_sure
70,OkayDuckAzukis,2.9K,396,https://rarible.com/collection/0x9343d7a00ff910bf97c074eb839c431989d23e62,,Ethereum,0x9343d7a00ff910bf97c074eb839c431989d23e62,2022/5/26 7:20,1,,,,,,
71,Pixel Azuki,2.7K,288,https://rarible.com/collection/0x9ffe14ef22d5185e651035f526e9c6d2e306c70f,,Ethereum,0x9ffe14ef22d5185e651035f526e9c6d2e306c70f,2022/1/20 13:23,1,1,,,,,
72,Azuki Ape,2.1K,271,https://rarible.com/collection/0xa7156d63d1e8fc24695ee6b636635d0176443520,,Ethereum,0xa7156d63d1e8fc24695ee6b636635d0176443520,2022/4/8 21:44,1,,,,,,
73,Azuki Apes,2.2K,472,https://rarible.com/azuki-apes-2,,Ethereum,0xc14e16261662887954d38e4fa788c7a9e78a54f0,2023/6/7 5:54,1,1,,,,,
74,RoyalAzuki,3.1K,439,https://rarible.com/collection/0xca238c94127f87bba95f5900394182510bf62e8e,,Ethereum,0xca238c94127f87bba95f5900394182510bf62e8e,2022/4/4 23:45,1,1,,,,,
75,Milady Azuki,2.9K,309,https://rarible.com/collection/0xdbf2ddfa20a164453c870202393d1df5954eba0b,,Ethereum,0xdbf2ddfa20a164453c870202393d1df5954eba0b,2023/5/14 7:58,1,,,,,,
76,MotoZuki.com Mint Pass,2.1K,1,https://rarible.com/collection/0xf4f5d9fff31df5d793f3651ba121488ae26a20e4,,Ethereum,0xf4f5d9fff31df5d793f3651ba121488ae26a20e4,2022/11/7 19:18,1,,,,,,
77,AzukiPixel,2.6K,512,https://rarible.com/collection/0xfa58886a3ab05cbb6c335f57ebdff52a82ccd2cf,,Ethereum,0xfa58886a3ab05cbb6c335f57ebdff52a82ccd2cf,2022/8/6 22:45,1,,,,,,
8,Basic Azuki,15K,2K,https://rarible.com/collection/0x5434db2bb856430e3620c1b9ca42e680b413aef3,,Ethereum,0x5434db2bb856430e3620c1b9ca42e680b413aef3,2023/6/28 15:11,1,,,,,,
87,BitcoinAzuki,1.4K,247,https://rarible.com/collection/0x29f0fff21b73501d030e57811135996b254177ab,,Ethereum,0x29f0fff21b73501d030e57811135996b254177ab,2023/3/31 6:22,1,,,,,,
88,y00ts Azuki,1.5K,14,https://rarible.com/collection/0x446644343d491ac78b5d1b28cc1f2d1b6faf29ce,,Ethereum,0x446644343d491ac78b5d1b28cc1f2d1b6faf29ce,2022/9/7 19:16,1,,,,,,
89,Arkaine,1.7K,41,https://rarible.com/arkaine,,Ethereum,0x507d8aae6450e212735444fb4a47eb88dcb1eba7,2023/10/9 6:50,1,,,,,,
