rank,name,items,owners,link,Unnamed: 5,scan,contract address,Time,text plagiarism,image plagiarism,manual label,Creation Time >= 3,trading volume >= 1500,Official website verification,counterfeit_sure
167,Bored Ape Yacht Club,,,https://rarible.com/collection/0x94d4f04ca909af175fc98a44f94235ef08ab0e6a,,Ethereum,0x94d4f04ca909af175fc98a44f94235ef08ab0e6a,,1,,,,,,
168,Not Bored Ape Yacht Club,,,https://rarible.com/collection/0xb1df2766e5976af75f702c81b970feae9b25f7c9,,Ethereum,0xb1df2766e5976af75f702c81b970feae9b25f7c9,,1,,,,,,
169,NFTCall Wrapped BoredApeYachtClub,,,https://rarible.com/collection/0xb622b69034f69500df064222693e34ed4135e931,,Ethereum,0xb622b69034f69500df064222693e34ed4135e931,,1,,,,,,
170,Bored Ape Yacht Club,,,https://rarible.com/collection/0xcef324018e3f58587d088c23e7fbeb2d1e43e8f3,,Ethereum,0xcef324018e3f58587d088c23e7fbeb2d1e43e8f3,,1,,,,,,
171,X404-BoredApeYachtClub,,,https://rarible.com/collection/0xcef5c36ba50054fe1b1f6c88c9c23f44f2bad1d6,,Ethereum,0xcef5c36ba50054fe1b1f6c88c9c23f44f2bad1d6,,1,,,,,,
172,NONAME,,,https://rarible.com/happysmitty,,Ethereum,0xe119f20718d161f6aefe03829281f156dfd8d8a2,,,,,,,,
187,RR/Bored Ape Yacht Club,,,https://rarible.com/collection/0x0f7335796344a4d7c85bba9aec272020da062aa7,,Ethereum,0x0f7335796344a4d7c85bba9aec272020da062aa7,,1,,,,,,
188,NFTCall BoredApeYachtClub Call,,,https://rarible.com/collection/0x3c6d9efc7be32c00caaea6f89763ae58a8f74db0,,Ethereum,0x3c6d9efc7be32c00caaea6f89763ae58a8f74db0,,1,,,,,,
189,Bored Ape Yacht Club,,,https://rarible.com/collection/0x50586513dc00ac42ed92109420a00c7e1aaebc64,,Ethereum,0x50586513dc00ac42ed92109420a00c7e1aaebc64,,1,,,,,,
190,BoredApesYachtClub404,,,https://rarible.com/collection/0x606cb0be3d4d0270f42750141d94db17a4e6556f,,Ethereum,0x606cb0be3d4d0270f42750141d94db17a4e6556f,,1,,,,,,
2,Bored Doods Ape Yacht Club,885,721,https://rarible.com/collection/0x07129939610cc8246463efe2f02b7b6e3ef26f2a,,Ethereum,0x07129939610cc8246463efe2f02b7b6e3ef26f2a,2022/9/17 4:07,1,1,,,,,1
27,Boreed Ape Yacht Club Cybttopunks,28,2,https://rarible.com/collection/0x6d91e6427b54583d6115bbfcd1018f2cf1d587a8,,Ethereum,0x6d91e6427b54583d6115bbfcd1018f2cf1d587a8,2024/4/25 21:50,1,,,,,,
28,Bored Skull yacht Club,129,4,https://rarible.com/collection/0xaf5bfd8326ef07db7f1467ff37fd5620210bd991,,Ethereum,0xaf5bfd8326ef07db7f1467ff37fd5620210bd991,2022/8/14 21:39,1,,,,,,
29,Star Wars Babies,26,1,https://rarible.com/midjourney,,Ethereum,0xec8da6850c5262e8242c497c75fb9e14b1de49cd,2023/1/4 4:33,,,,,,,
3,KNGDM Dragons Egg,7.8K,3,https://rarible.com/KNGDMDragonsEgg,,Ethereum,0x31379e9ab5262ef9a1f149be2470af79882d82be,2023/3/12 9:29,,,,,,,
