rank,name,items,owners,link,Unnamed: 5,scan,contract address,Time,text plagiarism,image plagiarism,manual label,Creation Time >= 3,trading volume >= 1500,Official website verification
138,Pudg yPenguins,10,1,https://rarible.com/collection/polygon/0x221117f45f8f31ff777796440f4dc24ca0c4a008,,Polygon,0x221117f45f8f31ff777796440f4dc24ca0c4a008,2024-05-31 18:07:08,1.0,1.0,,,,
139,Pudgy Penguin,10,1,https://rarible.com/collection/polygon/0x4ed84af11512df9a86f5f8f34f524c83ec7125f5,,Polygon,0x4ed84af11512df9a86f5f8f34f524c83ec7125f5,2024-05-31 18:06:04,1.0,1.0,,,,
14,LC Pudgy Penguin Origins Reveal Pass,1K,176,https://rarible.com/collection/polygon/0x89b8e5656fe08c1830090614a323b7f7f8b2123d,,Polygon,0x89b8e5656fe08c1830090614a323b7f7f8b2123d,2023-01-10 21:05:09,1.0,1.0,,,,
140,pudgypenguins.lens-Follower,5,8,https://rarible.com/collection/polygon/0x80ccdffa7d407d4e3aec4077df67c9fb16465c37,,Polygon,0x80ccdffa7d407d4e3aec4077df67c9fb16465c37,2022-08-05 08:27:51,1.0,,,,,
142,Pudgy Penguins,12,1,https://rarible.com/collection/polygon/0xb7c22be4177c4485324d2dd01cc53a4c79d64cd1,,Polygon,0xb7c22be4177c4485324d2dd01cc53a4c79d64cd1,2022-10-24 05:09:36,1.0,1.0,,,,
144,Pudgy Penguins,7,4,https://rarible.com/collection/polygon/0xee42b5000d24bd3ac116db0d0f145fe46a4a6f99,,Polygon,0xee42b5000d24bd3ac116db0d0f145fe46a4a6f99,2022-08-24 10:27:03,1.0,1.0,,,,
145,Mysticova,12,1,https://rarible.com/Mysticova,,Polygon,0xf413284f9ed23f55cbed5d485fec83f0eda52e83,2024-01-21 04:19:22,,,,,,
146,Pudgy Penguin,14,14,https://rarible.com/collection/zksync/0xf09be5d949a7d7929efa391cda92c92ba6e8ca93,,zkSync,0xf09be5d949a7d7929efa391cda92c92ba6e8ca93,2023-08-21 03:11:59,1.0,,,,,
147,PudgySoldierPenguins,2,1,https://rarible.com/collection/0x03761c73a85403d857f97487faaa97e8d3692649,,Ethereum,0x03761c73a85403d857f97487faaa97e8d3692649,2023-04-05 21:47:11,1.0,,,,,
148,PudgySoldierPenguins,2,1,https://rarible.com/collection/0x62f3183acf30a97a83dacff1568bb1bb4e739485,,Ethereum,0x62f3183acf30a97a83dacff1568bb1bb4e739485,2023-04-05 21:54:47,1.0,,,,,
149,Pudgy Penguins,3,1,https://rarible.com/collection/0xa89f4f51f66f068f3846673b043e9406aff8b3eb,,Ethereum,0xa89f4f51f66f068f3846673b043e9406aff8b3eb,2024-02-08 16:05:11,1.0,,,,,
15,The Pudgy Penguin Genesis Reveal Pass,1K,176,https://rarible.com/collection/polygon/0x912c9c32a830554c95151a7906d599169e391c9c,,Polygon,0x912c9c32a830554c95151a7906d599169e391c9c,2023-01-10 21:05:01,1.0,1.0,,,,
150,Pudgy Penguins x Degen,4,2,https://rarible.com/collection/base/0x5c2ad2b762973e1acd063d57ef244ee2fd909f4b,,Base,0x5c2ad2b762973e1acd063d57ef244ee2fd909f4b,2024-03-23 01:37:37,1.0,,,,,
151,Pudgy penguin og,2,1,https://rarible.com/collection/base/0x928a9f546f8c08f90cdb2633392b4fefaf238608,,Base,0x928a9f546f8c08f90cdb2633392b4fefaf238608,2024-04-18 01:43:01,1.0,,,,,
152,@pudgypenguin Creator Token on Drakula.app,3,3,https://rarible.com/collection/base/0xc1b66386eb97a584777bdc04326696ad72ed2634,,Base,0xc1b66386eb97a584777bdc04326696ad72ed2634,2024-03-16 23:12:35,1.0,,,,,
153,Cubism Penguins Pudgy,4,1,https://rarible.com/collection/polygon/0x1203342a5e9e5c1466586de215257271569ac968,,Polygon,0x1203342a5e9e5c1466586de215257271569ac968,2024-02-09 01:56:34,1.0,1.0,,,,
154,PudgyPenguins,2,1,https://rarible.com/collection/polygon/0x22a906e837e4ac4b021d6f77ec92f3b7f0291fff,,Polygon,0x22a906e837e4ac4b021d6f77ec92f3b7f0291fff,2021-10-21 11:57:16,1.0,,,,,
155,Pudgy Penguins 🐧 Toys Launch in Walmart,3,3,https://rarible.com/collection/polygon/0x4429410b7a50e1f6a58dc8b3b38d5661b9c76c81,,Polygon,0x4429410b7a50e1f6a58dc8b3b38d5661b9c76c81,2023-10-02 02:48:56,1.0,,,,,
156,PudgyPenguins,3,1,https://rarible.com/collection/polygon/0x468b8b75ba391edb2c6ad6726afcf89648e241ad,,Polygon,0x468b8b75ba391edb2c6ad6726afcf89648e241ad,2021-09-12 06:09:09,1.0,1.0,,,,
157,Pudgy Penguin #2857,2,138K,https://rarible.com/collection/polygon/0x46f8c511213c99a01efdea78a9ac7c6de9850828,,Polygon,0x46f8c511213c99a01efdea78a9ac7c6de9850828,2023-12-02 07:41:36,1.0,1.0,,,,
158,Pudgy Penguins World,2,2,https://rarible.com/collection/polygon/0xb28c5f5c58338df541c80e4ae7fba6498c4ef180,,Polygon,0xb28c5f5c58338df541c80e4ae7fba6498c4ef180,2022-04-20 22:50:04,1.0,,,,,
159,Pudgy Penguins #2323,3,1,https://rarible.com/collection/polygon/0xbf40d62f98d166b6c1247e86244bdd03de4671ef,,Polygon,0xbf40d62f98d166b6c1247e86244bdd03de4671ef,2024-04-23 18:19:25,1.0,1.0,,,,
16,Pudgy Penguins Pixel,2K,1,https://rarible.com/collection/polygon/0x9750b2887df52957186c02253f277bf4c42ebe17,,Polygon,0x9750b2887df52957186c02253f277bf4c42ebe17,2022-03-23 06:54:27,1.0,,,,,
160,ZK Pudgy Penguins,2,1,https://rarible.com/collection/zksync/0x52091c29356710fcb57e54c3eadfdb709d71a6c7,,zkSync,0x52091c29356710fcb57e54c3eadfdb709d71a6c7,2023-09-11 03:03:36,1.0,,,,,
161,Pudgy Penguin,1,1,https://rarible.com/collection/zksync/0xb7afbe6859956a4447f7d7f1aef9e03d15a00548,,zkSync,0xb7afbe6859956a4447f7d7f1aef9e03d15a00548,2023-09-24 22:08:07,1.0,,,,,
162,Pudgy Penguins,1,1,https://rarible.com/collection/zksync/0xc7270655a2e40880dfcd34a25d0a53b6e752998c,,zkSync,0xc7270655a2e40880dfcd34a25d0a53b6e752998c,2023-09-10 17:07:47,1.0,,,,,
163,Pudgy Penguin,1,1,https://rarible.com/collection/zksync/0xe7c2bfe1ee24c468fe4841516d3d3385b7a186a2,,zkSync,0xe7c2bfe1ee24c468fe4841516d3d3385b7a186a2,2023-10-04 18:02:30,1.0,,,,,
164,Pudgy Penguin,1,1,https://rarible.com/collection/zksync/0xf55429b25d62a3b5445d48b6c0d3d4f7473250fa,,zkSync,0xf55429b25d62a3b5445d48b6c0d3d4f7473250fa,2023-07-19 10:22:19,1.0,,,,,
165,Pudgy Penguin,1,1,https://rarible.com/collection/zksync/0xf65c484c1be3a4fdf254fa78bbc83d8cbc238f14,,zkSync,0xf65c484c1be3a4fdf254fa78bbc83d8cbc238f14,2023-07-20 22:19:56,1.0,,,,,
166,Pudgy Penguin,1,2,https://rarible.com/collection/zksync/0xf8ece69debba4a4eb7801ddbecab0bfc940ea4f5,,zkSync,0xf8ece69debba4a4eb7801ddbecab0bfc940ea4f5,2023-06-16 02:26:43,1.0,,,,,
167,Pudgy Penguin,1,1,https://rarible.com/collection/zksync/0x53cbaa346939176d018cdd6bd07b7e5a7cb11112,,zkSync,0x53cbaa346939176d018cdd6bd07b7e5a7cb11112,2023-10-29 20:21:35,1.0,1.0,,,,
168,Pudgy Penguin,1,1,https://rarible.com/collection/zksync/0x64543cd17ca265676bff97cdf43208768ab4489a,,zkSync,0x64543cd17ca265676bff97cdf43208768ab4489a,2023-06-15 20:13:11,1.0,1.0,,,,
169,Pudgy Penguins,1,1,https://rarible.com/collection/zksync/0x68ab71418da5cd86cca571a27b642f03f0e3a813,,zkSync,0x68ab71418da5cd86cca571a27b642f03f0e3a813,2023-07-24 20:41:59,1.0,,,,,
17,Pudgy Penguin Origin Reveal Pass,1K,176,https://rarible.com/collection/polygon/0x990bed7a3e8141bb04294a1b2d0737ac1048d25d,,Polygon,0x990bed7a3e8141bb04294a1b2d0737ac1048d25d,2023-01-10 21:05:05,1.0,1.0,,,,
170,Pudgy Penguin,1,1,https://rarible.com/collection/zksync/0x7047c5146bcea19458583c245562364ed450fb98,,zkSync,0x7047c5146bcea19458583c245562364ed450fb98,2023-08-25 14:31:14,1.0,,,,,
171,Pudgy Penguins,1,1,https://rarible.com/collection/zksync/0x747492c93389a35125b259e834af40b11bb4d826,,zkSync,0x747492c93389a35125b259e834af40b11bb4d826,2023-10-04 20:50:22,1.0,,,,,
172,Pudgy Penguin,1,1,https://rarible.com/collection/zksync/0x7664b53686cccb422f6b1912b6ede10c95872ba5,,zkSync,0x7664b53686cccb422f6b1912b6ede10c95872ba5,2023-06-12 09:56:28,1.0,,,,,
173,Pudgy Penguin,1,1,https://rarible.com/collection/zksync/0x768defb2ed83edce0f59a5e287896b25e2696818,,zkSync,0x768defb2ed83edce0f59a5e287896b25e2696818,2023-10-16 11:05:39,1.0,,,,,
174,Pudgy Penguins,1,1,https://rarible.com/collection/zksync/0x81b1749c6459700680181de41d862ae43b31d3bb,,zkSync,0x81b1749c6459700680181de41d862ae43b31d3bb,2023-09-23 20:09:18,1.0,,,,,
175,Pudgy Penguins,1,1,https://rarible.com/collection/zksync/0x82a93bf2543019307b3f01dbb8678bd92b558dbc,,zkSync,0x82a93bf2543019307b3f01dbb8678bd92b558dbc,2023-09-22 11:51:49,1.0,,,,,
176,Pudgy Penguin,1,3,https://rarible.com/collection/zksync/0x85598553059b91e4e363bd5f046dc88049272473,,zkSync,0x85598553059b91e4e363bd5f046dc88049272473,2024-04-14 16:20:34,1.0,1.0,,,,
177,Pudgy Penguin,1,1,https://rarible.com/collection/zksync/0x8bcfb658d6186578d37f123b4562738211e39e41,,zkSync,0x8bcfb658d6186578d37f123b4562738211e39e41,2023-08-12 15:22:34,1.0,,,,,
178,Pudgy Penguin,1,1,https://rarible.com/collection/zksync/0x8c9ac2c963d57de7d036dc7118bda40f7ec25b59,,zkSync,0x8c9ac2c963d57de7d036dc7118bda40f7ec25b59,2023-08-30 10:41:21,1.0,,,,,
179,Pudgy Penguins,1,1,https://rarible.com/collection/zksync/0x8e639fa666ed8a7815c6393ef8a4b9efd2676f2f,,zkSync,0x8e639fa666ed8a7815c6393ef8a4b9efd2676f2f,2023-07-27 23:10:51,1.0,,,,,
18,Pudgy Penguin Limited Reveal Pass,1K,176,https://rarible.com/collection/polygon/0x99f3d7235d6e8e730b9b9ac43bf61f724c90399d,,Polygon,0x99f3d7235d6e8e730b9b9ac43bf61f724c90399d,2023-01-10 21:05:01,1.0,1.0,,,,
180,Pudgy Penguin,1,1,https://rarible.com/collection/zksync/0x8f5da5ed784eb07c91a1c755980a40b97249c0c8,,zkSync,0x8f5da5ed784eb07c91a1c755980a40b97249c0c8,2023-07-20 22:01:42,1.0,,,,,
