decision_mode,contract_id,collection_type,low_rep_threshold_pct,trigger_k,angle,detected_window_proxy,first_sell_window,first_avoid_buy_window,first_risk_window,lead_windows,consecutive_risk_windows,has_risk_signal_before_detect,never_bought_before_detect,never_bought_and_no_avoid_signal,prompt_tokens_total,completion_tokens_total,total_tokens_total
llm_rank_mini,8_3_0c5597e5_0c5597e5,rugpull,0.8,3,buy,23.0,,21.0,21.0,91.38109719012286,3,1,1,0,1185.0,666.0,1851.0
llm_rank_mini,8_3_0c5597e5_0c5597e5,rugpull,0.8,3,sell,23.0,21.0,,21.0,91.38109719012286,3,1,1,0,1185.0,574.0,1759.0
rule_agent,8_3_0c5597e5_0c5597e5,rugpull,0.9,3,buy,23.0,,21.0,21.0,91.38109719012286,3,1,1,0,0.0,0.0,0.0
rule_agent,8_3_0c5597e5_0c5597e5,rugpull,0.9,3,sell,23.0,,,,,0,0,1,0,0.0,0.0,0.0
llm_base,8_3_0c5597e5_0c5597e5,rugpull,0.9,3,buy,23.0,,21.0,21.0,91.38109719012286,3,1,1,0,1362.0,572.0,1934.0
llm_base,8_3_0c5597e5_0c5597e5,rugpull,0.9,3,sell,23.0,21.0,,21.0,91.38109719012286,2,1,1,0,1362.0,724.0,2086.0
llm_rank,8_3_0c5597e5_0c5597e5,rugpull,0.9,3,buy,23.0,,21.0,21.0,91.38109719012286,3,1,1,0,1491.0,582.0,2073.0
llm_rank,8_3_0c5597e5_0c5597e5,rugpull,0.9,3,sell,23.0,21.0,,21.0,91.38109719012286,3,1,1,0,1491.0,665.0,2156.0
llm_rank_compact,8_3_0c5597e5_0c5597e5,rugpull,0.9,3,buy,23.0,,21.0,21.0,91.38109719012286,3,1,1,0,1278.0,378.0,1656.0
llm_rank_compact,8_3_0c5597e5_0c5597e5,rugpull,0.9,3,sell,23.0,21.0,,21.0,91.38109719012286,3,1,1,0,1278.0,615.0,1893.0
llm_rank_mini,8_3_0c5597e5_0c5597e5,rugpull,0.9,3,buy,23.0,,21.0,21.0,91.38109719012286,3,1,1,0,1185.0,593.0,1778.0
llm_rank_mini,8_3_0c5597e5_0c5597e5,rugpull,0.9,3,sell,23.0,21.0,,21.0,91.38109719012286,2,1,1,0,1185.0,476.0,1661.0
rule_agent,8_3_0d99cc92_0d99cc92,rugpull,0.8,3,buy,29.0,,27.0,27.0,44.36510156915217,3,1,1,0,0.0,0.0,0.0
rule_agent,8_3_0d99cc92_0d99cc92,rugpull,0.8,3,sell,29.0,,,,,0,0,1,0,0.0,0.0,0.0
llm_base,8_3_0d99cc92_0d99cc92,rugpull,0.8,3,buy,29.0,,27.0,27.0,44.36510156915217,3,1,1,0,1362.0,574.0,1936.0
llm_base,8_3_0d99cc92_0d99cc92,rugpull,0.8,3,sell,29.0,27.0,,27.0,44.36510156915217,1,1,1,0,1362.0,823.0,2185.0
llm_rank,8_3_0d99cc92_0d99cc92,rugpull,0.8,3,buy,29.0,,27.0,27.0,44.36510156915217,3,1,1,0,1509.0,707.0,2216.0
llm_rank,8_3_0d99cc92_0d99cc92,rugpull,0.8,3,sell,29.0,27.0,,27.0,44.36510156915217,3,1,1,0,1509.0,876.0,2385.0
llm_rank_compact,8_3_0d99cc92_0d99cc92,rugpull,0.8,3,buy,29.0,,27.0,27.0,44.36510156915217,3,1,1,0,1296.0,723.0,2019.0
llm_rank_compact,8_3_0d99cc92_0d99cc92,rugpull,0.8,3,sell,29.0,27.0,,27.0,44.36510156915217,1,1,1,0,1296.0,775.0,2071.0
llm_rank_mini,8_3_0d99cc92_0d99cc92,rugpull,0.8,3,buy,29.0,,27.0,27.0,44.36510156915217,3,1,1,0,1203.0,643.0,1846.0
llm_rank_mini,8_3_0d99cc92_0d99cc92,rugpull,0.8,3,sell,29.0,27.0,,27.0,44.36510156915217,3,1,1,0,1203.0,636.0,1839.0
rule_agent,8_3_0d99cc92_0d99cc92,rugpull,0.9,3,buy,29.0,,27.0,27.0,44.36510156915217,3,1,1,0,0.0,0.0,0.0
rule_agent,8_3_0d99cc92_0d99cc92,rugpull,0.9,3,sell,29.0,,,,,0,0,1,0,0.0,0.0,0.0
llm_base,8_3_0d99cc92_0d99cc92,rugpull,0.9,3,buy,29.0,,27.0,27.0,44.36510156915217,3,1,1,0,1362.0,642.0,2004.0
llm_base,8_3_0d99cc92_0d99cc92,rugpull,0.9,3,sell,29.0,28.0,,28.0,43.36510156915217,2,1,1,0,1362.0,893.0,2255.0
